No,Komentar,Status
615,laporin ylki,Negativ
616,barakallah tokepedia sukses,Positiv
617,deh dm beserta transaksinya penasaran,Positiv
618,sis cpt lgsg kepotong saldonya kalao mah hati stok ksong wkwkkw etss pke tokocash berhasil dipmbyaran gada semenit dikembaliin danaku yaelahh pdoo mawon yakkk,Positiv
619,pembohongan,Negativ
620,awas basic voal bikin ketagihan ready basic voal shinar glamour,Negativ
621,semenit jam tet lgsg belanja berhasil bayar gada semenit lgsg dana dikembalikan pke tokocash bayarxkan boong gamau rugii kayaknya permainan bnyak kunjungi toped hahahha,Positiv
622,wkwkwk percaya flash salekamvret,Positiv
623,jg mentok bayar pdhal rb an gila menitan muter tu gagal server ksel,Positiv
624,pagi dapet tas pas cek taunya dibatalin toped,Positiv
625,barusan cek tas dibatalin topednya,Negativ
626,rejekinya brati tpi kayanya penjualnya ngasih batasan stok deh flash sale pas malem cek olshopnya aplikasi barangnya tersedia,Negativ
627,stok maaf habis dana dikembalikan toko kes dana toko kes pakai haji,Positiv
628,awesomee yaa,Negativ
629,gmbarnya kagum,Positiv
630,pilihan pembayarannyacuma dikasih menit pembayaranga kaya disebelah jam,Positiv
631,met aktivitas pagi yaah,Negativ
632,anjir wkwkwk,Negativ
633,q gakk dpt susah,Positiv
634,payment angin semilir tebar pesona kesalahan terusotw playstore kasih bintang,Negativ
635,toko merah ngadain event kampung sinyalnya sekuat jakarta parah servernya brarti emg persiapkan,Positiv
636,tokopedia kl flash sale barang setoknya banyakin jgn cuman doang nungguin puluhan ribuan org pastiin server lancar nerima pengunjung,Negativ
637,si oren emang bagus barangnya bermutu dapet kadang produk eksklusif sediain oren helm murah sampe boncengan anak lengkappp,Positiv
638,pake kesal kesal,Positiv
639,via transfer ambil tendili moneynya,Positiv
640,ok,Negativ
641,min bayar via tokocash tebar pesona kaga daftar belanja skali tebar pesona tokocash kepotong gmana,Negativ
642,input resi susaaaaahhhh truussss,Negativ
643,benerinnn server dolo njerr,Positiv
644,tahun tukang tipu mulu,Negativ
645,anehflash sale murah bnget bayar langsung back cmn ribu pake point lgiini aneh,Positiv
646,sekian comment respon akun heraann maluin,Positiv
647,eror melanda,Negativ
648,tokocash transfer biasakesal,Positiv
649,tdi pgi syaa beli milo cube sayang kursng berminat kalo pagi enakb bgtu malem rame bener gila,Positiv
650,erorrrrrrr,Positiv
651,menit proses order hahaha bates masuk keranjang server error pembayaran coba lg lain-lain eh kosong stoknya,Positiv
652,pindah shoppe ah enak ciuman upsciuman,Negativ
653,berdosa kasar flash sale pas proses bayar muncul tulisan kesalahan pas klik lg muncul tulisan maaf stok barang kosong,Negativ
654,dapettahunbersama,Positiv
655,xiaomi redmi flash sale pagi proses pengiriman,Positiv
656,kitkat harga ribuan bayar yaaah lumayan,Positiv
657,min kaalau bayar eh pesanan batalkan duit masuk toko bayar langsung jd tunai,Negativ
658,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Negativ
659,kalo niat kasih promo disiapin bener sistemnya,Positiv
660,wkwk incer mahal susah emg tebar pesona temen dapet angin semilir,Negativ
661,ngincer blender gagal mulu langsung home cari produk nyisa dapet deh tas,Negativ
662,lapar lngsng masukin barang krnjang pas check out gagal hahaha mending sale jelassssss,Positiv
663,beli brg trs dibalikin dana tokocash dibatalin penjual cek riwayat transaksi pindahkan saldo tokopedia sampe hitungan menit pindah saldo tunggu hr semoga membantu,Negativ
664,protes smua trick pintar pintar dpt dpt barusan vacum cleaner pas rb dpt flash sale tokped rame pengunjung harga fantastis tebar pesona stock disediakan banya,Negativ
665,kemajuan min berusaha tingkatin pelayanannya min tokped,Negativ
666,uang ku toko bayar langsung taun syaratnya dipindahkan rekening kalo pembatalan,Negativ
667,berhasil dapet,Negativ
668,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Positiv
669,dapet jbl temen dapet angin semilir,Positiv
670,flash sale jd program tokopedia hoaxbayar pake toko bayar langsung cpet,Positiv
671,saldo tokopedia,Negativ
672,kacau,Negativ
673,sandisk normal rb,Positiv
674,ny berita bohong,Negativ
675,diam ambil tendili moneynya biar ngebut bayarnya eh jancuk aplikasi macet-macet sampe crash suwe bat dah,Negativ
676,min flash sale bilangannya gitu mulu cape better benerin servernya kliatan siapnya sendirilah penduduk indonesia juta org kasarnya stgh penduduk indonesia akses tokopedia perhitungan brp data masuk,Negativ
677,mudah han dapet hadiah aamiin,Negativ
678,bener mslhnya berjuang hasil dibilang hoki msalah flashsale jdid jakmall bl shopee belanjaan flash sale pcs jaman tokopedia flashsale sklipun dapet detik kebuka jam pas barangnya habis,Negativ
679,barang ghoibkahkesal,Positiv
680,tinggal pembayaran tinggal ganmasih byk berhasil payment verified engga kalopun berhasil diuji autocancel autorefund ndak thats the flow cb kali amati flownya terapkan komensaya baca komen post sblmnya paham,Negativ
681,kecewa berat,Negativ
682,tetep goib,Negativ
683,kecewaaaaa,Negativ
684,malam keluarin besok pagi,Positiv
685,super parah dibanding pagi jam gimana ni pemberi harapan palsu ajacustomer super kecewaaa,Negativ
686,menit jam lapar menit barangnya belom klik flash salenya berakhirlahhh kocak banget tokopedia,Negativ
687,pinterrr,Positiv
688,kecewa semoga tokopedia berubah nama tokophp,Positiv
689,ni ko bermasalah lihat daftar transaksi isinya kosong beli barang sore cek ko kosong,Positiv
690,min flash sale tokopedia jam malam tanggal agustus berhasil check out memilih pembayaran bca va disitu pemberitahuan kode pembayaran diverifikasi menit kode bayarnya yaterima kasih,Negativ
691,kek yahsudah berhasil prosestinggal bayartp limitnya menitkesal serius nanya,Negativ
692,maaf pengunjung kecewa kunjungan tokopedia dugaan terbaik kami berusaha kualitas pelayanan,Positiv
693,metode pembayaran pakai,Positiv
694,lapak sebelah harga rb flash sale,Positiv
695,dapet tas gagal berkali kali,Positiv
696,boong kali pagi malem susah masuknya pas kebuka barang,Negativ
697,ntaps marketplace orange kyaknya marketplace ijo deh,Negativ
698,guaa jam mantengin hp,Positiv
699,story bro dpt pancake untungan ikutan ratusan ribu orang tebar pesona stok barang terbatas namanya flash,Negativ
700,kirim dm silahkan dicek,Positiv
701,kasih bukti dpet screnshot pembyaran berhasil,Positiv
702,dm silahkan dicek,Negativ
703,flash sale dapet ikutan,Negativ
704,j pro mudah an dicancel,Positiv
705,adain kaya gini orang emosi doangnurunin rating harga tokopedia doang,Positiv
706,percaya,Negativ
707,bokiss flash sale,Positiv
708,toko bayar langsung numpuk saldonya dibatalin mulu berhasil bayar,Negativ
709,setuju,Positiv
710,dm krim post nti iri,Positiv
711,pengguna shopee bl jg promo flash produk harganya tokopedia ngasih harga murah jd peminat shopee bl dibanding tokopedia bl flash sale ngasih produk harga asli produknya rb tokopedia harga produk jutaan jd murah bngt,Positiv
712,ok,Negativ
713,kirain tokopedia belajar pengalaman flash sale mei terulang mendingan kalo blum ngadain flash sale pake flash sale mohon belajar slb sukses ngadain flash sale,Negativ
714,ngejar flash sale tebar pesona dropshiper ambil barang dri seller tokpedakibatnya kerjaan terbengkalai gara order checkout error format tokped dropshiper friendly kalo ngadain flash sale sok nge boom,Positiv
715,down servernya event adain ulang deh diprotes jawabannya suruh coba bebenah,Positiv
716,numpang om top up saldo indomaret,Negativ
717,checkout bener,Positiv
718,bl duitnya bl shake,Positiv
719,bikin story gopro hero brp,Negativ
720,kl adain flash sale serius dongg,Positiv
721,maybelline dapet umpat,Positiv
722,dapet,Negativ
723,harga rbuan,Positiv
724,storyku,Positiv
725,rb gua dapet action cam sma power bank tebar pesona flash sale barangnya diskon gede jd tahan kebutuhan tertawa keras,Positiv
726,dapet juragan rb dapet amazfit bip pagi dapet earphone jbl malem rada aneh dapet helm saldo kepotong tebar pesona gagal checkout dapet selangkah selingkuh transaksi berhasil,Positiv
727,woy,Negativ
728,coba beli apapun kaga error melulu,Negativ
729,eror woy benerin,Positiv
730,wkwkw gua gua doang ngeluh kgak checkout banget yaaa serius sampe kesel pengen banting hape gua jaringan lemot taunya emang susah,Positiv
731,ngincer angin semilir stuck proses bayar,Positiv
732,pagi,Negativ
733,sptnya diuntungkan diisini pedagang tokped yaa tokocash,Negativ
734,juragan diliat bukti kakak lelaki posting ig real berita bohong,Positiv
735,sistemnya overload,Negativ
736,gapernah kebagian astagaaahhh,Negativ
737,flash sale akalan rajin mantengin jam pagi malem sampe nyalain alarm tetep zonk server stock habis coba ku kasar wkwkwkekwk,Negativ
738,teflon frame,Positiv
739,dapet apa,Positiv
740,boicot,Negativ
741,barang,Positiv
742,tokopedia,Positiv
743,nyobain vuma iseng pembayaran mo jam langsung diblng stock habis halaman flashsale masi aneh bin ajaib,Negativ
744,dapet mas barang pagi malamdasar anak,Positiv
745,beneran lihat kepala mata walaubsaya mengakui kalo sedih bete kena marah,Positiv
746,pemberi harapan palsu doang kena tipu kayak keledai,Negativ
747,lihat review orangorang pas beli hp harga flash sale,Positiv
748,koneksi indomie calon anak ayam kornet stabil bagus,Positiv
749,lom beruntung kemarin marah hikz,Positiv
750,norak kali ikutan flash salekesal wkwk,Positiv
751,bukalapak wkwkw tokped ketinggalan ulang ny pelit parah kalah diskonan bukalapak,Negativ
752,nature republic,Negativ
753,dapet namanya jg flash sale bawa santai dapet syukur dapet rejeki namanya harga gilaan wajar byk stand,Positiv
754,dapet nature republic bayar pake cc,Positiv
755,amazing,Positiv
756,beli miband pas mo bayar lamgsung stock habis menjengkelkan pas jam,Negativ
757,amazing,Positiv
758,flassalee,Negativ
759,kecewaaaastok tpi dibayar notif stok kosongperbaiki sistemnya,Negativ
760,pagi berhasil powerbank mili mah thank you pagi experience flash sale drpd semalam well see semoga membatalkan orderan thanks again,Positiv
761,pembodohan umat barang sediain cuman rebutan indonesia,Negativ
762,stock tersedia pas bayar tulisan stock habis kaya lapak sebelah sdh check out barang sdh otomatis bayar ko,Negativ
763,sale kampret,Negativ
764,banget giliran bayar error terusphp,Negativ
765,boongan lgs beli tebar pesona kosong kosong bayar data error server error data not_found cape,Negativ
766,udahhhh dongggkucing kucing,Positiv
767,dpt maen cepetan wkt dl dpt rice cooker kl skrg brg tmn ku dpt blender drone namanya barang diserbu ribuan org cepetan faktor hoki toko sblh jg flash sale dis,Positiv
768,klikpay bca,Positiv
769,bayare pke ecash gimana sihaku bingung kra transfer kya order,Negativ
770,server error trs pdhl klik secepat kilat eh pas klik checkout server error stock kosong,Negativ
771,dapet coba ngaku,Positiv
772,beli xiaomi mukena bali kesalahan jaringan aduuh aneh deh,Negativ
773,hahaha error canggih servernya hahah,Negativ
774,dpet mah error bae serverny,Negativ
775,sabar gt jam barusan dpt pas masuk keranjang server bermasalah gt gt qty pdhl bisanya pas cekout error sekalinya paymentzonkkkstok habis ilang flashsale hahaha fakesale kali yee flashsale,Negativ
776,flash toped bener yakesal kakak lelaki masuk keranjang ribet suru masukin alamatujungnya stok kosong,Negativ
777,dapet hahahahaa,Positiv
778,error lg error lg error lg malam parah drpd kemarin malam klik beli muncul keranjang belanja kosong flow screen jg lari kemana kesalahan server jam lapar lapar tembus tinggal klik bayar lgsg stok habis produk dibilang habis dihapus keranjang belanja jg muncul error main aman goblok really heres my input better do some stress test first before do another flash sale if u are wise youll take this input happy customer will be your repeat customer unhappy customer will be new customer to your competitor,Negativ
779,bnget mbaaa kayak pake hp nyoba eh error perphpan,Negativ
780,terimakasih tokopedia pengalaman mengecewakannya tinggal bayar tebar pesona error trs kali mengatasi error sokan bikin flashsale yatahunbersamakecewabadexperience,Negativ
781,niat flashsale ngadain flashsale kalah lazadashopee prettt,Negativ
782,tipu tipu detik langsung habis,Negativ
783,pake selangkah selingkuh banking,Positiv
784,ka bayarnya,Negativ
785,pakai,Negativ
786,dapet tebar pesona bayarnya pake briva,Positiv
787,berhasil pake briva,Positiv
788,jualan tebar pesona isi ulang tokocash coba gugling deh isi tokocash tokopedia pake,Positiv
789,hmm bagus promo bayar langsung back pacman,Negativ
790,bayar tiba uangnya refund penipuan gimana,Negativ
791,isi klik bca kl jualan jd penjualan uang msk tokocash,Positiv
792,pake kartu kredit ka,Positiv
793,ka bayar pake ka toko caash kah,Positiv
794,bayar pakai toko bayar langsung gimana ka penjelasan,Positiv
795,tokopedia pengalaman mengecewakannya tinggal bayar error kali kalo ngatasin error gausah sok bikin giniantahunbersamamengecewakan,Negativ
796,pemberi harapan palsu,Negativ
797,dapet pagi lumayan,Positiv
798,beneran dpt,Negativ
799,menit min belinyakan rebutan bayarnya mah rebutan,Positiv
800,virtual account bayarnya ambil tendili moneynya ko pembayaran menit ajah buru atmnya,Positiv
801,zonk,Negativ
802,jelasgitu pembayaran loading xpadahal signalnya bagusstock kosong melulupadahal br berjalan menit,Negativ
803,transfer ambil tendili moneynya pengen dpt biar emak seneng,Positiv
804,mayanlah kang sedia payung hujan,Positiv
805,gimn ikiutan tolong bantu jelasin,Negativ
806,ak beli helm berhasil bayar via klik bca nunggu proses seller mudah an dana kembalikan saldo toko bayar langsung,Positiv
807,min server downtolong masak klik produk,Negativ
808,terustahunbersama,Positiv
809,berhasil beli payung harga rebu,Positiv
810,mesti byk belajar collocation server amazon google anak bule tokped semangat,Positiv
811,berdoa weh hoki haha,Negativ
812,bayar lemot pas bayar duitnya tokocash,Negativ
813,bakar,Positiv
814,br buka aplikasi jam teng barang gag stock omong kosong,Positiv
815,dy jg dapet hp rb sampe,Negativ
816,semoga smpe berhasil tangan angin semilir,Positiv
817,susah dapet lucky dibatalin,Positiv
818,skrg sma dpt,Negativ
819,hokian coeg flash sale bayar duit balikin haha like you belanja supermarket bayar struk print barang ambil orang,Positiv
820,flashsale ngelanjutin kemaren yaa engga,Positiv
821,check out tinggal bayar dapet no va tebar pesona pas proses loading lg bayar dana kembalikan check out barangnya keep cm dikasih menit bayar menit loading kiciwa banget deh,Negativ
822,kayanya toko laen flash sale prnh brmslh flash sale brmslh aneh auto uninstal ajh cem ginimah mnding shopee lazada ajh deh,Positiv
823,kali dapet susu enfagrow harga bayar menit lari ambil tendili moneynya,Positiv
824,gagal tinggal bayar tetiba oops stok,Positiv
825,iyaa virtual account,Positiv
826,jam pagi teng kakak lelaki hitungan menit produk kosong,Negativ
827,belum beruntung,Positiv
828,kayaknya emang mayoritas bayar error deh,Positiv
829,ka gigi tajam ngerasain fs tolong jelasin temen tokped fake ngadain flash sale,Positiv
830,ng worth it wasting time ng hadilnya zonk flashsale tong kosong ng barangnya zonk bikin kecewa check out ng eror coba sehabis makan pulang barang hbs pembayaran eror coba sehabis makan pulang berkali barang habis pemberi harapan palsu flash sale zonk palsu bikin kecewa buang cari sensasi doang bikin kecewa customer goodbye deh pindah online,Negativ
831,tokopedia pake jasa aws bos,Negativ
832,zonk mulu,Positiv
833,amazon menginvest tokopedianya alibaba group,Negativ
834,blackmores vitamin ribu,Negativ
835,keranjang belanja msh titik merah terisi barangtp dibuka kosong,Positiv
836,ntar dijadiin iklan ngebully tokopedia pdhal tokopedia kakak lelaki bagus pas kmaren dpt bayar gagal internal server error,Negativ
837,minjgn lupa perbaiki server pelanggan kecewa kabur,Negativ
838,diproses penjual,Negativ
839,gimmick,Negativ
840,error stiap dapet,Negativ
841,tinggal bayar pdahal tebar pesona kgk bsa server error blablabla pas cek flash sale dah ilang bijiii kgk niat ngadain flash sale kya,Positiv
842,parahh,Positiv
843,ngomong bos tokopedia invest server amazon web services server down pengunjung servernya diurusin dapet flash sale nyebar kebohongan kaya gini,Positiv
844,flashsale bohongan niecuma mentok check out,Negativ
845,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Negativ
846,transaksi flash sale kemarin pembayaran via bca virtual account dana terpotong sistem error belanjaan stuck cart produk habis hilang skrg dana terpotong cart logo notification dibuka cart kosong mohon kebijakan tokopedia bagaimanakesal,Positiv
847,min senin gunain voucher ilovemonday cashbacknya masuk skrg min,Negativ
848,gmbarnya kere tulen gift yasin cantik acaramu berkesan kepoin yaa,Negativ
849,hahahahahaha,Negativ
850,subhanallaah sore,Negativ
851,flashsale bikintiap bayar server down trskan aneh,Negativ
852,min tambahin hashtagnyaflashsalephp,Positiv
853,barang masuk keranjang pas bayar maaf stok kosong padahl berpa detik,Negativ
854,fs ngk load pilih barang,Negativ
855,juragan,Negativ
856,habishuft,Negativ
857,awesomee yaa met siang,Negativ
858,mimin servernya benerin min please,Positiv
859,marah,Negativ
860,laporin ylki,Negativ
861,barakallah tokepedia sukses,Positiv
862,deh dm beserta transaksinya penasaran,Positiv
863,sis cpt lgsg kepotong saldonya kalao mah hati stok ksong wkwkkw etss pke tokocash berhasil dipmbyaran gada semenit dikembaliin danaku yaelahh pdoo mawon yakkk,Positiv
864,pembohongan,Negativ
865,awas basic voal bikin ketagihan ready basic voal shinar glamour,Negativ
866,semenit jam tet lgsg belanja berhasil bayar gada semenit lgsg dana dikembalikan pke tokocash bayarxkan boong gamau rugii kayaknya permainan bnyak kunjungi toped hahahha,Positiv
867,wkwkwk percaya flash salekamvret,Positiv
868,jg mentok bayar pdhal rb an gila menitan muter tu gagal server ksel,Positiv
869,pagi dapet tas pas cek taunya dibatalin toped,Positiv
870,barusan cek tas dibatalin topednya,Negativ
871,rejekinya brati tpi kayanya penjualnya ngasih batasan stok deh flash sale pas malem cek olshopnya aplikasi barangnya tersedia,Negativ
872,stok maaf habis dana dikembalikan toko kes dana toko kes pakai haji,Positiv
873,awesomee yaa,Negativ
874,gmbarnya kagum,Positiv
875,pilihan pembayarannyacuma dikasih menit pembayaranga kaya disebelah jam,Positiv
876,met aktivitas pagi yaah,Negativ
877,anjir wkwkwk,Negativ
878,q gakk dpt susah,Positiv
879,payment angin semilir tebar pesona kesalahan terusotw playstore kasih bintang,Negativ
880,toko merah ngadain event kampung sinyalnya sekuat jakarta parah servernya brarti emg persiapkan,Positiv
881,tokopedia kl flash sale barang setoknya banyakin jgn cuman doang nungguin puluhan ribuan org pastiin server lancar nerima pengunjung,Negativ
882,si oren emang bagus barangnya bermutu dapet kadang produk eksklusif sediain oren helm murah sampe boncengan anak lengkappp,Positiv
883,pake kesal kesal,Positiv
884,via transfer ambil tendili moneynya,Positiv
885,ok,Negativ
886,min bayar via tokocash tebar pesona kaga daftar belanja skali tebar pesona tokocash kepotong gmana,Negativ
887,input resi susaaaaahhhh truussss,Negativ
888,benerinnn server dolo njerr,Positiv
889,tahun tukang tipu mulu,Negativ
890,anehflash sale murah bnget bayar langsung back cmn ribu pake point lgiini aneh,Positiv
891,sekian comment respon akun heraann maluin,Positiv
892,eror melanda,Negativ
893,tokocash transfer biasakesal,Positiv
894,tdi pgi syaa beli milo cube sayang kursng berminat kalo pagi enakb bgtu malem rame bener gila,Positiv
895,erorrrrrrr,Positiv
896,menit proses order hahaha bates masuk keranjang server error pembayaran coba lg lain-lain eh kosong stoknya,Positiv
897,pindah shoppe ah enak ciuman upsciuman,Negativ
898,berdosa kasar flash sale pas proses bayar muncul tulisan kesalahan pas klik lg muncul tulisan maaf stok barang kosong,Negativ
899,dapettahunbersama,Positiv
900,xiaomi redmi flash sale pagi proses pengiriman,Positiv
901,kitkat harga ribuan bayar yaaah lumayan,Positiv
902,min kaalau bayar eh pesanan batalkan duit masuk toko bayar langsung jd tunai,Negativ
903,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Negativ
904,kalo niat kasih promo disiapin bener sistemnya,Positiv
905,wkwk incer mahal susah emg tebar pesona temen dapet angin semilir,Negativ
906,ngincer blender gagal mulu langsung home cari produk nyisa dapet deh tas,Negativ
907,lapar lngsng masukin barang krnjang pas check out gagal hahaha mending sale jelassssss,Positiv
908,beli brg trs dibalikin dana tokocash dibatalin penjual cek riwayat transaksi pindahkan saldo tokopedia sampe hitungan menit pindah saldo tunggu hr semoga membantu,Negativ
909,protes smua trick pintar pintar dpt dpt barusan vacum cleaner pas rb dpt flash sale tokped rame pengunjung harga fantastis tebar pesona stock disediakan banya,Negativ
910,kemajuan min berusaha tingkatin pelayanannya min tokped,Negativ
911,uang ku toko bayar langsung taun syaratnya dipindahkan rekening kalo pembatalan,Negativ
912,berhasil dapet,Negativ
913,gagal beli uang toko bayar langsung ditarik saldo trs dibalikin bank dasar anak informasi,Positiv
914,dapet jbl temen dapet angin semilir,Positiv
915,flash sale jd program tokopedia hoaxbayar pake toko bayar langsung cpet,Positiv
916,saldo tokopedia,Negativ
917,kacau,Negativ
918,sandisk normal rb,Positiv
919,ny berita bohong,Negativ
920,diam ambil tendili moneynya biar ngebut bayarnya eh jancuk aplikasi macet-macet sampe crash suwe bat dah,Negativ
